ticker,sector,last,chg_%,z,vol_x,wk_%,vs_hi_%,rsi
CAH,Health Care,233.55,-0.87,-0.56,0.89,0.45,-2.6,56.6
CARR,Industrials,65.69,3.99,1.58,0.64,4.01,-13.3,47.7
CASY,Consumer Staples,850.66,-1.13,-0.34,1.09,-0.65,-7.1,51.8
CAT,Industrials,876.54,5.6,1.89,2.0,4.24,-17.5,48.5
CB,Financials,348.3,0.02,0.01,0.74,-4.18,-4.2,49.9
CBOE,Financials,288.42,-3.16,-1.0,0.67,-3.02,-21.2,52.2
CBRE,Real Estate,151.05,1.77,0.85,0.69,2.72,-11.7,64.8
CCI,Real Estate,77.66,1.2,0.55,0.73,2.52,-16.9,47.8
CCL,Consumer Discretionary,29.59,2.96,1.01,1.14,4.82,-12.0,64.5
CDNS,Information Technology,340.62,1.33,0.46,0.85,-1.19,-18.2,44.0
CDW,Information Technology,154.0,4.27,1.34,1.49,6.92,0.0,69.3
CEG,Utilities,267.25,-2.36,-0.83,1.37,2.86,-19.3,53.3
CF,Materials,118.11,-0.16,-0.06,0.74,-3.91,-13.8,47.9
CFG,Financials,73.68,1.35,0.81,0.46,1.67,-0.3,62.4
CHD,Consumer Staples,103.0,2.99,1.91,1.16,3.07,-1.8,63.5
CHRW,Industrials,154.75,5.27,1.68,0.73,-8.62,-26.1,33.1
CHTR,Communication Services,153.07,6.22,1.96,0.93,9.36,-38.3,65.4
CI,Health Care,274.05,-2.84,-1.48,1.26,-8.97,-10.0,40.5
CIEN,Information Technology,411.13,5.21,1.04,0.9,17.29,-34.4,50.0
CINF,Financials,179.42,0.78,0.47,0.44,-1.76,-6.6,51.2
CL,Consumer Staples,92.53,2.95,1.89,1.44,-0.22,-5.5,53.5
CLX,Consumer Staples,104.67,6.52,2.99,2.11,4.34,-16.6,64.7
CMCSA,Communication Services,24.93,1.51,0.71,0.78,3.06,-21.3,59.4
CME,Financials,262.63,-1.33,-0.62,0.74,1.01,-17.2,59.9
CMG,Consumer Discretionary,33.82,-9.72,-3.28,2.75,0.93,-14.6,48.7
CMI,Industrials,635.96,-1.99,-0.72,2.41,-0.88,-12.6,44.3
CMS,Utilities,71.73,-0.01,-0.01,0.63,-3.55,-9.6,37.2
CNC,Health Care,64.07,0.49,0.2,0.95,0.25,-6.8,50.0
CNP,Utilities,41.58,-0.81,-0.65,1.08,-5.71,-7.7,37.2
COF,Financials,221.91,1.94,0.97,0.68,4.47,0.0,67.8
COHR,Information Technology,323.73,12.35,1.91,1.89,33.04,-24.2,54.0
COIN,Financials,150.73,2.89,0.67,0.96,-10.23,-30.4,43.6
COO,Health Care,74.69,0.62,0.3,0.94,3.65,-11.2,64.6
COP,Energy,117.94,-1.02,-0.52,0.78,3.37,-11.2,55.9
COR,Health Care,306.28,-0.68,-0.44,1.23,-4.16,-17.6,53.6
COST,Consumer Staples,947.85,-0.65,-0.44,1.1,-1.94,-13.2,50.0
CPAY,Financials,396.52,2.78,1.11,1.13,3.17,0.0,66.9
CPRT,Industrials,29.4,0.17,0.07,0.73,-4.2,-27.2,52.2
CPT,Real Estate,111.03,0.28,0.21,0.76,-3.49,-5.6,45.0
CRH,Materials,98.84,0.25,0.11,0.77,-4.41,-22.9,43.4
CRL,Health Care,234.12,1.41,0.47,1.05,-2.62,-2.6,60.5
CRM,Information Technology,190.99,2.71,0.84,0.68,5.23,-8.6,63.9
CRWD,Information Technology,211.22,4.29,1.19,0.97,16.18,0.0,66.5
CSCO,Information Technology,121.74,5.08,1.77,1.09,5.33,-6.0,62.3
CSGP,Real Estate,29.82,-0.72,-0.24,0.72,-1.7,-41.5,51.2
CSX,Industrials,51.03,2.41,1.58,0.99,0.37,-4.1,57.4
CTAS,Industrials,203.65,-0.18,-0.09,0.9,-5.23,-5.9,59.2
CTSH,Information Technology,56.13,1.74,0.47,1.61,11.57,-26.3,70.7
CTVA,Materials,78.31,2.99,1.41,1.48,-11.96,-13.5,37.5
CVNA,Consumer Discretionary,68.03,2.87,0.73,0.6,2.97,-18.4,54.1
CVS,Health Care,104.42,-0.9,-0.55,0.74,-4.5,-5.0,49.9
CVX,Energy,190.4,-1.44,-0.88,1.25,1.5,-9.0,55.6
